_id,brandName,brandUsage,npsScore,npsReason,user,datetaken
survey1,Apple,4,10,2,user1,2016-08-20T05:46:05.514Z
survey2,Apple,3,10,2,user2,2016-08-20T05:46:05.514Z
survey3,Apple,4,10,2,user3,2016-08-20T05:46:05.514Z
survey4,Apple,4,10,1,user4,2016-08-20T05:46:05.514Z
survey5,Apple,3,10,1,user5,2016-08-20T05:46:05.514Z
survey6,Apple,2,10,3,user6,2016-08-20T05:46:05.514Z
survey7,Apple,4,10,2,user7,2016-08-20T05:46:05.514Z
survey8,Apple,1,10,3,user8,2016-08-20T05:46:05.514Z
survey9,Apple,2,10,3,user9,2016-08-20T05:46:05.514Z
survey10,Apple,1,10,2,user10,2016-08-20T05:46:05.514Z
survey11,Apple,2,10,1,user11,2016-08-20T05:46:05.514Z
survey12,Apple,1,10,1,user12,2016-08-20T05:46:05.514Z
survey13,Apple,4,10,2,user13,2016-08-20T05:46:05.514Z
survey14,Apple,4,10,1,user14,2016-08-20T05:46:05.514Z
survey15,Apple,2,10,1,user15,2016-08-20T05:46:05.514Z
survey16,Apple,3,10,2,user16,2016-08-20T05:46:05.514Z
survey17,Apple,4,10,1,user17,2016-08-20T05:46:05.514Z
survey18,Apple,1,10,3,user18,2016-08-20T05:46:05.514Z
survey19,Apple,4,10,2,user19,2016-08-20T05:46:05.514Z
survey20,Apple,4,10,1,user20,2016-08-20T05:46:05.514Z
survey21,Apple,2,10,1,user21,2016-08-20T05:46:05.514Z
survey22,Apple,3,10,1,user22,2016-08-20T05:46:05.514Z
survey23,Apple,1,10,2,user23,2016-08-20T05:46:05.514Z
survey24,Apple,1,10,3,user24,2016-08-20T05:46:05.514Z
survey25,Apple,4,10,1,user25,2016-08-20T05:46:05.514Z
survey26,Apple,2,10,2,user26,2016-08-20T05:46:05.514Z
survey27,Apple,4,10,1,user27,2016-08-20T05:46:05.514Z
survey28,Apple,1,10,2,user28,2016-08-20T05:46:05.514Z
survey29,Apple,4,10,2,user29,2016-08-20T05:46:05.514Z
survey30,Apple,3,10,2,user30,2016-08-20T05:46:05.514Z
survey31,Apple,1,10,3,user31,2016-08-20T05:46:05.514Z
survey32,Apple,2,10,3,user32,2016-08-20T05:46:05.514Z
survey33,Apple,4,10,2,user33,2016-08-20T05:46:05.514Z
survey34,Apple,3,10,3,user34,2016-08-20T05:46:05.514Z
survey35,Apple,2,10,1,user35,2016-08-20T05:46:05.514Z
survey36,Apple,4,10,3,user36,2016-08-20T05:46:05.514Z
survey37,Apple,2,10,1,user37,2016-08-20T05:46:05.514Z
survey38,Apple,3,10,3,user38,2016-08-20T05:46:05.514Z
survey39,Apple,3,10,2,user39,2016-08-20T05:46:05.514Z
survey40,Apple,3,10,3,user40,2016-08-20T05:46:05.514Z
survey41,Apple,1,10,2,user41,2016-08-20T05:46:05.514Z
survey42,Apple,1,10,1,user42,2016-08-20T05:46:05.514Z
survey43,Apple,2,10,2,user43,2016-08-20T05:46:05.514Z
survey44,Apple,2,10,1,user44,2016-08-20T05:46:05.514Z
survey45,Apple,3,10,3,user45,2016-08-20T05:46:05.514Z
survey46,Apple,4,10,1,user46,2016-08-20T05:46:05.514Z
survey47,Apple,2,10,2,user47,2016-08-20T05:46:05.514Z
survey48,Apple,4,10,2,user48,2016-08-20T05:46:05.514Z
survey49,Apple,2,10,2,user49,2016-08-20T05:46:05.514Z
survey50,Apple,2,10,2,user50,2016-08-20T05:46:05.514Z
survey51,Apple,2,10,1,user51,2016-08-20T05:46:05.514Z
survey52,Apple,2,10,3,user52,2016-08-20T05:46:05.514Z
survey53,Apple,2,10,2,user53,2016-08-20T05:46:05.514Z
survey54,Apple,2,10,1,user54,2016-08-20T05:46:05.514Z
survey55,Apple,1,10,1,user55,2016-08-20T05:46:05.514Z
survey56,Apple,3,10,1,user56,2016-08-20T05:46:05.514Z
survey57,Apple,1,10,1,user57,2016-08-20T05:46:05.514Z
survey58,Apple,4,10,2,user58,2016-08-20T05:46:05.514Z
survey59,Apple,3,10,1,user59,2016-08-20T05:46:05.514Z
survey60,Apple,4,10,1,user60,2016-08-20T05:46:05.514Z
survey61,Apple,4,10,2,user61,2016-08-20T05:46:05.514Z
survey62,Apple,4,10,1,user62,2016-08-20T05:46:05.514Z
survey63,Apple,1,10,1,user63,2016-08-20T05:46:05.514Z
survey64,Apple,1,10,3,user64,2016-08-20T05:46:05.514Z
survey65,Apple,3,10,1,user65,2016-08-20T05:46:05.514Z
survey66,Apple,2,10,3,user66,2016-08-20T05:46:05.514Z
survey67,Apple,1,10,2,user67,2016-08-20T05:46:05.514Z
survey68,Apple,2,10,1,user68,2016-08-20T05:46:05.514Z
survey69,Apple,3,10,2,user69,2016-08-20T05:46:05.514Z
survey70,Apple,1,10,1,user70,2016-08-20T05:46:05.514Z
survey71,Apple,2,10,1,user71,2016-08-20T05:46:05.514Z
survey72,Apple,3,10,3,user72,2016-08-20T05:46:05.514Z
survey73,Apple,4,10,1,user73,2016-08-20T05:46:05.514Z
survey74,Apple,3,10,1,user74,2016-08-20T05:46:05.514Z
survey75,Apple,3,10,2,user75,2016-08-20T05:46:05.514Z
survey76,Apple,2,10,2,user76,2016-08-20T05:46:05.514Z
survey77,Apple,1,10,2,user77,2016-08-20T05:46:05.514Z
survey78,Apple,2,10,3,user78,2016-08-20T05:46:05.514Z
survey79,Apple,1,10,3,user79,2016-08-20T05:46:05.514Z
survey80,Apple,4,10,3,user80,2016-08-20T05:46:05.514Z
survey81,Apple,1,10,2,user81,2016-08-20T05:46:05.514Z
survey82,Apple,4,10,3,user82,2016-08-20T05:46:05.514Z
survey83,Apple,3,10,2,user83,2016-08-20T05:46:05.514Z
survey84,Apple,2,10,1,user84,2016-08-20T05:46:05.514Z
survey85,Apple,3,10,1,user85,2016-08-20T05:46:05.514Z
survey86,Apple,1,10,1,user86,2016-08-20T05:46:05.514Z
survey87,Apple,1,10,3,user87,2016-08-20T05:46:05.514Z
survey88,Apple,2,10,3,user88,2016-08-20T05:46:05.514Z
survey89,Apple,4,10,2,user89,2016-08-20T05:46:05.514Z
survey90,Apple,3,10,2,user90,2016-08-20T05:46:05.514Z
survey91,Apple,1,10,2,user91,2016-08-20T05:46:05.514Z
survey92,Apple,2,10,3,user92,2016-08-20T05:46:05.514Z
survey93,Apple,1,10,1,user93,2016-08-20T05:46:05.514Z
survey94,Apple,1,10,1,user94,2016-08-20T05:46:05.514Z
survey95,Apple,1,10,1,user95,2016-08-20T05:46:05.514Z
survey96,Apple,2,10,3,user96,2016-08-20T05:46:05.514Z
survey97,Apple,2,10,3,user97,2016-08-20T05:46:05.514Z
survey98,Apple,3,10,3,user98,2016-08-20T05:46:05.514Z
survey99,Apple,3,10,3,user99,2016-08-20T05:46:05.514Z
survey100,Apple,1,10,3,user100,2016-08-20T05:46:05.514Z
survey101,Apple,4,10,3,user101,2016-08-20T05:46:05.514Z
survey102,Apple,4,10,1,user102,2016-08-20T05:46:05.514Z
survey103,Apple,4,10,3,user103,2016-08-20T05:46:05.514Z
survey104,Apple,4,10,3,user104,2016-08-20T05:46:05.514Z
survey105,Apple,4,10,3,user105,2016-08-20T05:46:05.514Z
survey106,Apple,2,10,3,user106,2016-08-20T05:46:05.514Z
survey107,Apple,2,10,1,user107,2016-08-20T05:46:05.514Z
survey108,Apple,4,10,1,user108,2016-08-20T05:46:05.514Z
survey109,Apple,1,10,2,user109,2016-08-20T05:46:05.514Z
survey110,Apple,2,10,3,user110,2016-08-20T05:46:05.514Z
survey111,Apple,1,10,1,user111,2016-08-20T05:46:05.514Z
survey112,Apple,4,10,1,user112,2016-08-20T05:46:05.514Z
survey113,Apple,1,10,3,user113,2016-08-20T05:46:05.514Z
survey114,Apple,2,10,3,user114,2016-08-20T05:46:05.514Z
survey115,Apple,3,10,2,user115,2016-08-20T05:46:05.514Z
survey116,Apple,4,10,3,user116,2016-08-20T05:46:05.514Z
survey117,Apple,2,10,1,user117,2016-08-20T05:46:05.514Z
survey118,Apple,3,10,2,user118,2016-08-20T05:46:05.514Z
survey119,Apple,1,10,3,user119,2016-08-20T05:46:05.514Z
survey120,Apple,3,10,3,user120,2016-08-20T05:46:05.514Z
survey121,Apple,3,5,2,user121,2016-08-20T05:46:05.514Z
survey122,Apple,2,5,3,user122,2016-08-20T05:46:05.514Z
survey123,Apple,4,5,3,user123,2016-08-20T05:46:05.514Z
survey124,Apple,4,5,3,user124,2016-08-20T05:46:05.514Z
survey125,Apple,2,5,1,user125,2016-08-20T05:46:05.514Z
survey126,Apple,4,5,1,user126,2016-08-20T05:46:05.514Z
survey127,Apple,4,5,1,user127,2016-08-20T05:46:05.514Z
survey128,Apple,2,5,1,user128,2016-08-20T05:46:05.514Z
survey129,Apple,4,5,2,user129,2016-08-20T05:46:05.514Z
survey130,Apple,3,5,2,user130,2016-08-20T05:46:05.514Z
survey131,Apple,1,5,2,user131,2016-08-20T05:46:05.514Z
survey132,Apple,3,5,1,user132,2016-08-20T05:46:05.514Z
survey133,Apple,1,5,1,user133,2016-08-20T05:46:05.514Z
survey134,Apple,4,5,1,user134,2016-08-20T05:46:05.514Z
survey135,Apple,4,5,2,user135,2016-08-20T05:46:05.514Z
survey136,Apple,1,5,3,user136,2016-08-20T05:46:05.514Z
survey137,Apple,3,5,3,user137,2016-08-20T05:46:05.514Z
survey138,Apple,2,5,1,user138,2016-08-20T05:46:05.514Z
survey139,Apple,3,5,3,user139,2016-08-20T05:46:05.514Z
survey140,Apple,3,5,2,user140,2016-08-20T05:46:05.514Z
survey141,Apple,4,5,2,user141,2016-08-20T05:46:05.514Z
survey142,Apple,1,5,3,user142,2016-08-20T05:46:05.514Z
survey143,Apple,4,5,2,user143,2016-08-20T05:46:05.514Z
survey144,Apple,2,5,2,user144,2016-08-20T05:46:05.514Z
survey145,Apple,1,5,2,user145,2016-08-20T05:46:05.514Z
survey146,Apple,3,5,3,user146,2016-08-20T05:46:05.514Z
survey147,Apple,2,5,3,user147,2016-08-20T05:46:05.514Z
survey148,Apple,4,5,2,user148,2016-08-20T05:46:05.514Z
survey149,Apple,3,5,3,user149,2016-08-20T05:46:05.514Z
survey150,Apple,3,5,3,user150,2016-08-20T05:46:05.514Z
survey151,Apple,3,5,1,user151,2016-08-20T05:46:05.514Z
survey152,Apple,2,5,2,user152,2016-08-20T05:46:05.514Z
survey153,Apple,2,5,2,user153,2016-08-20T05:46:05.514Z
survey154,Apple,4,5,2,user154,2016-08-20T05:46:05.514Z
survey155,Apple,3,5,2,user155,2016-08-20T05:46:05.514Z
survey156,Apple,2,5,2,user156,2016-08-20T05:46:05.514Z
survey157,Apple,1,5,1,user157,2016-08-20T05:46:05.514Z
survey158,Apple,3,5,2,user158,2016-08-20T05:46:05.514Z
survey159,Apple,3,5,1,user159,2016-08-20T05:46:05.514Z
survey160,Apple,4,5,2,user160,2016-08-20T05:46:05.514Z
survey161,Apple,3,5,3,user161,2016-08-20T05:46:05.514Z
survey162,Apple,3,5,2,user162,2016-08-20T05:46:05.514Z
survey163,Apple,3,5,3,user163,2016-08-20T05:46:05.514Z
survey164,Apple,4,5,1,user164,2016-08-20T05:46:05.514Z
survey165,Apple,3,5,2,user165,2016-08-20T05:46:05.514Z
survey166,Apple,4,5,3,user166,2016-08-20T05:46:05.514Z
survey167,Apple,3,5,1,user167,2016-08-20T05:46:05.514Z
survey168,Apple,4,5,3,user168,2016-08-20T05:46:05.514Z
survey169,Apple,3,5,3,user169,2016-08-20T05:46:05.514Z
survey170,Apple,4,5,1,user170,2016-08-20T05:46:05.514Z
survey171,Apple,3,1,1,user171,2016-08-20T05:46:05.514Z
survey172,Apple,4,1,1,user172,2016-08-20T05:46:05.514Z
survey173,Apple,1,1,2,user173,2016-08-20T05:46:05.514Z
survey174,Apple,2,1,2,user174,2016-08-20T05:46:05.514Z
survey175,Apple,3,1,2,user175,2016-08-20T05:46:05.514Z
survey176,Apple,1,1,3,user176,2016-08-20T05:46:05.514Z
survey177,Apple,3,1,3,user177,2016-08-20T05:46:05.514Z
survey178,Apple,4,1,1,user178,2016-08-20T05:46:05.514Z
survey179,Apple,3,1,2,user179,2016-08-20T05:46:05.514Z
